in s,C1 in V
-9.78104339E+01,9.918213E-07
-9.78012786E+01,1.449585E-06
-9.77921233E+01,-2.212524E-06
-9.77829680E+01,7.629395E-08
-9.77738128E+01,2.670288E-06
-9.77646575E+01,4.196167E-06
-9.77555022E+01,1.907349E-06
-9.77463469E+01,-4.043579E-06
-9.77371916E+01,8.163452E-06
-9.77280364E+01,-4.501343E-06
-9.77188811E+01,-6.866455E-07
-9.77097258E+01,5.569458E-06
-9.77005705E+01,8.392334E-07
-9.76914152E+01,8.316040E-06
-9.76822600E+01,7.095337E-06
-9.76731047E+01,5.416870E-06
-9.76639494E+01,3.890991E-06
-9.76547941E+01,3.814697E-07
-9.76456388E+01,4.501343E-06
-9.76364836E+01,-6.790161E-06
-9.76273283E+01,-9.841919E-06
-9.76181730E+01,-2.517700E-06
-9.76090177E+01,-6.332397E-06
-9.75998624E+01,-2.365112E-06
-9.75907072E+01,-7.095337E-06
-9.75815519E+01,-2.670288E-06
-9.75723966E+01,-3.890991E-06
-9.75632413E+01,-4.501343E-06
-9.75540860E+01,1.754761E-06
-9.75449308E+01,4.806519E-06
-9.75357755E+01,-2.288818E-07
-9.75266202E+01,-1.449585E-06
-9.75174649E+01,1.449585E-06
-9.75083096E+01,-2.822876E-06
-9.74991544E+01,2.059937E-06
-9.74899991E+01,-6.179810E-06
-9.74808438E+01,-5.722046E-06
-9.74716885E+01,-7.705688E-06
-9.74625332E+01,-5.111694E-06
-9.74533780E+01,-7.858276E-06
-9.74442227E+01,-7.247925E-06
-9.74350674E+01,-6.332397E-06
-9.74259121E+01,-6.027222E-06
-9.74167568E+01,-4.501343E-06
-9.74076016E+01,-1.518250E-05
-9.73984463E+01,-8.163452E-06
-9.73892910E+01,-1.029968E-05
-9.73801357E+01,-3.128052E-06
-9.73709804E+01,-6.027222E-06
-9.73618252E+01,-1.136780E-05
-9.73526699E+01,-6.179810E-06
-9.73435146E+01,-4.959106E-06
-9.73343593E+01,-6.332397E-06
-9.73252040E+01,-9.994507E-06
-9.73160488E+01,1.449585E-06
-9.73068935E+01,-1.602173E-06
-9.72977382E+01,-4.348755E-06
-9.72885829E+01,-2.975464E-06
-9.72794276E+01,3.128052E-06
-9.72702724E+01,5.111694E-06
-9.72611171E+01,3.738403E-06
-9.72519618E+01,7.858276E-06
-9.72428065E+01,8.926392E-06
-9.72336512E+01,-2.517700E-06
-9.72244960E+01,-2.517700E-06
-9.72153407E+01,-1.754761E-06
-9.72061854E+01,-7.247925E-06
-9.71970301E+01,-2.288818E-07
-9.71878748E+01,-8.468628E-06
-9.71787196E+01,5.340576E-07
-9.71695643E+01,-5.111694E-06
-9.71604090E+01,-1.602173E-06
-9.71512537E+01,-2.212524E-06
-9.71420984E+01,3.814697E-07
-9.71329432E+01,1.449585E-06
-9.71237879E+01,2.517700E-06
-9.71146326E+01,1.754761E-06
-9.71054773E+01,8.392334E-07
-9.70963220E+01,-3.585815E-06
-9.70871668E+01,-7.629395E-08
-9.70780115E+01,3.890991E-06
-9.70688562E+01,-4.196167E-06
-9.70597009E+01,-4.196167E-06
-9.70505456E+01,-5.722046E-06
-9.70413904E+01,-3.814697E-07
-9.70322351E+01,6.637573E-06
-9.70230798E+01,5.722046E-06
-9.70139245E+01,-1.144409E-06
-9.70047692E+01,3.280640E-06
-9.69956140E+01,6.866455E-07
-9.69864587E+01,3.890991E-06
-9.69773034E+01,-5.569458E-06
-9.69681481E+01,-6.942749E-06
-9.69589928E+01,-7.247925E-06
