in s,C1 in V
-9.76181730E+01,4.547043E+00
-9.76090177E+01,4.544601E+00
-9.75998624E+01,4.543991E+00
-9.75907072E+01,4.545670E+00
-9.75815519E+01,4.545364E+00
-9.75723966E+01,4.543686E+00
-9.75632413E+01,4.544144E+00
-9.75540860E+01,4.546432E+00
-9.75449308E+01,4.544449E+00
-9.75357755E+01,4.544601E+00
-9.75266202E+01,4.545212E+00
-9.75174649E+01,4.544449E+00
-9.75083096E+01,4.544601E+00
-9.74991544E+01,4.545212E+00
-9.74899991E+01,4.546585E+00
-9.74808438E+01,4.546432E+00
-9.74716885E+01,4.545975E+00
-9.74625332E+01,4.544601E+00
-9.74533780E+01,4.545517E+00
-9.74442227E+01,4.543076E+00
-9.74350674E+01,4.543686E+00
-9.74259121E+01,4.545059E+00
-9.74167568E+01,4.546280E+00
-9.74076016E+01,4.544296E+00
-9.73984463E+01,4.545822E+00
-9.73892910E+01,4.547501E+00
-9.73801357E+01,4.544754E+00
-9.73709804E+01,4.544907E+00
-9.73618252E+01,4.544754E+00
-9.73526699E+01,4.545517E+00
-9.73435146E+01,4.542923E+00
-9.73343593E+01,4.544144E+00
-9.73252040E+01,4.545822E+00
-9.73160488E+01,4.545975E+00
-9.73068935E+01,4.545822E+00
-9.72977382E+01,4.545517E+00
-9.72885829E+01,4.546432E+00
-9.72794276E+01,4.544449E+00
-9.72702724E+01,4.544907E+00
-9.72611171E+01,4.546280E+00
-9.72519618E+01,4.546127E+00
-9.72428065E+01,4.544601E+00
-9.72336512E+01,4.546280E+00
-9.72244960E+01,4.546738E+00
-9.72153407E+01,4.545517E+00
-9.72061854E+01,4.544754E+00
-9.71970301E+01,4.545822E+00
-9.71878748E+01,4.546738E+00
-9.71787196E+01,4.543991E+00
-9.71695643E+01,4.544754E+00
-9.71604090E+01,4.546585E+00
-9.71512537E+01,4.545212E+00
-9.71420984E+01,4.544144E+00
-9.71329432E+01,4.544754E+00
-9.71237879E+01,4.547195E+00
-9.71146326E+01,4.544601E+00
-9.71054773E+01,4.544907E+00
-9.70963220E+01,4.545212E+00
-9.70871668E+01,4.543991E+00
-9.70780115E+01,4.544449E+00
-9.70688562E+01,4.545975E+00
-9.70597009E+01,4.546127E+00
-9.70505456E+01,4.543533E+00
-9.70413904E+01,4.543839E+00
-9.70322351E+01,4.545517E+00
-9.70230798E+01,4.544144E+00
-9.70139245E+01,4.542618E+00
-9.70047692E+01,4.544144E+00
-9.69956140E+01,4.545822E+00
-9.69864587E+01,4.544754E+00
-9.69773034E+01,4.544144E+00
-9.69681481E+01,4.545822E+00
-9.69589928E+01,4.545364E+00
-9.69498376E+01,4.543839E+00
-9.69406823E+01,4.544296E+00
-9.69315270E+01,4.545517E+00
-9.69223717E+01,4.543686E+00
-9.69132164E+01,4.544144E+00
-9.69040612E+01,4.544907E+00
-9.68949059E+01,4.545212E+00
-9.68857506E+01,4.544144E+00
-9.68765953E+01,4.544601E+00
-9.68674400E+01,4.547043E+00
-9.68582848E+01,4.545517E+00
-9.68491295E+01,4.544296E+00
-9.68399742E+01,4.545212E+00
-9.68308189E+01,4.546585E+00
-9.68216636E+01,4.543076E+00
-9.68125084E+01,4.543839E+00
-9.68033531E+01,4.544144E+00
-9.67941978E+01,4.545059E+00
-9.67850425E+01,4.543839E+00
-9.67758872E+01,4.545059E+00
-9.67667320E+01,4.546280E+00
-9.67575767E+01,4.544601E+00
-9.67484214E+01,4.543533E+00
-9.67392661E+01,4.544601E+00
